,No.,request,response
0,242,0,0.3831
1,559,1,0.5687
2,998,0,0.5023
3,920,0,0.9539
4,138,1,0.5611
5,939,0,0.8492
6,977,1,0.9156
7,768,0,0.9687
8,752,0,0.6739
9,473,0,0.1921
10,563,0,0.4181
11,996,0,0.5179
12,302,0,0.8083
13,932,0,0.9209
14,341,0,0.9502
15,467,0,0.8184
16,571,0,0.3513
17,851,0,0.4856
18,653,0,0.4954
19,429,0,0.3858
20,411,0,0.8597
21,306,0,0.238
22,119,0,0.8307
23,525,0,0.7926
24,775,1,0.9229
25,379,0,0.9743
26,562,0,0.886
27,745,0,0.7129
28,461,0,0.9075
29,508,1,0.4599
30,916,0,0.7762
31,433,0,0.6773
32,675,1,0.7537
33,244,0,0.6432
34,11,0,0.1475
35,107,0,0.6979
36,749,0,0.6727
37,793,0,0.3165
38,748,0,0.6249
39,464,0,0.6564
40,734,0,0.8938
41,535,0,0.5698
42,123,1,0.643
43,825,0,0.4921
44,350,0,0.1048
45,519,1,0.5953
46,585,1,0.3985
47,596,0,0.7403
48,660,0,0.6974
49,65,1,0.5869
50,833,0,0.2465
51,792,1,0.8608
52,962,1,0.5557
53,16,0,0.6348
54,406,1,0.7053
55,717,0,0.4816
56,305,0,0.7969
57,380,0,0.8292
58,98,1,0.5325
59,636,1,0.8118
60,770,1,0.581
61,257,0,0.821
62,128,0,0.8266
63,740,0,0.7088
64,285,1,0.6359
65,897,0,0.7979
66,384,0,0.7118
67,395,0,0.7222
68,225,0,0.404
69,316,0,0.8497
70,884,1,0.7168
71,493,0,0.5099
72,879,0,0.7141
73,746,1,0.4115
74,890,0,0.4143
75,581,0,0.9857
76,589,0,0.9099
77,106,0,0.377
78,912,0,0.723
79,64,1,0.6926
80,46,0,0.0644
81,113,0,0.7905
82,82,0,0.4137
83,502,1,0.4457
84,974,0,0.6998
85,580,0,0.3046
86,730,0,0.7614
87,739,0,0.2196
88,692,0,0.6249
89,28,1,0.6088
90,781,0,0.9403
91,626,0,0.5073
92,171,0,0.9151
93,859,0,0.3447
94,782,1,0.3453
95,760,0,0.7401
96,297,0,0.8855
97,229,0,0.7009
98,155,0,0.6382
99,889,0,0.9566
100,348,0,0.7496
101,352,0,0.7776
102,809,0,0.4099
103,497,0,0.8112
104,690,0,0.5098
105,408,0,0.7059
106,545,1,0.3642
107,186,0,0.8065
108,984,0,0.1366
109,823,0,0.2158
110,158,1,0.8778
111,469,1,0.4988
112,137,0,0.6046
113,205,0,0.661
114,930,0,0.7211
115,227,0,0.4578
116,980,0,0.4547
117,197,1,0.8437
118,434,0,0.5084
119,32,0,0.782
120,822,0,0.7093
121,988,0,0.6043
122,36,0,0.582
123,400,0,0.955
124,245,0,0.5474
125,614,0,0.6953
126,603,0,0.4665
127,238,0,0.3556
128,766,0,0.3621
129,982,0,0.8348
130,742,0,0.7597
131,875,0,0.9797
132,807,0,0.7068
133,509,0,0.4283
134,991,1,0.8787
135,489,1,0.5191
136,564,0,0.7722
137,237,0,0.427
138,885,0,0.7425
139,247,0,0.7573
140,534,1,0.8919
141,481,0,0.7347
142,957,0,0.4662
143,495,0,0.6515
144,780,0,0.5997
145,178,0,0.1271
146,35,1,0.8455
147,893,0,0.8817
148,578,0,0.9626
149,168,0,0.5696
150,487,0,0.7986
151,767,0,0.4503
152,672,0,0.302
153,475,0,0.5913
154,944,0,0.5604
155,703,0,0.4758
156,276,0,0.63
157,789,1,0.6809
158,880,1,0.4779
159,511,0,0.0414
160,574,0,0.9423
161,569,0,0.9655
162,925,0,0.9063
163,61,0,0.8166
164,829,0,0.7081
165,444,0,0.5497
166,355,0,0.7906
167,325,0,0.9864
168,616,0,0.3464
169,579,0,0.926
170,608,0,0.691
171,900,0,0.8022
172,849,0,0.6628
173,86,1,0.4223
174,813,0,0.9464
175,157,1,0.8625
176,820,1,0.7992
177,886,1,0.4844
178,784,1,0.4524
179,694,1,0.8637
180,261,0,0.9877
181,572,0,0.4568
182,292,1,0.8495
183,283,0,0.8806
184,381,1,0.3692
185,860,0,0.8223
186,947,0,0.932
187,733,1,0.882
188,468,0,0.7254
189,769,1,0.7107
190,310,1,0.59
191,618,0,0.885
192,117,0,0.6033
193,584,0,0.4445
194,239,0,0.4261
195,531,0,0.7208
196,537,0,0.5832
197,756,1,0.4693
198,33,0,0.3622
199,622,0,0.9831
200,330,0,0.9762
201,372,0,0.6798
202,940,1,0.3194
203,259,0,0.9254
204,270,0,0.8974
205,676,0,0.311
206,850,1,0.5699
207,105,0,0.5651
208,802,1,0.5578
209,109,0,0.5525
210,90,0,0.8496
211,594,0,0.8553
212,627,0,0.8096
213,704,0,0.5486
214,167,0,0.8075
215,332,0,0.7217
216,404,0,0.791
217,111,1,0.9367
218,989,0,0.2646
219,590,0,0.6882
220,188,0,0.3464
221,515,0,0.6947
222,557,0,0.3526
223,402,0,0.0931
224,6,0,0.6079
225,826,0,0.587
226,556,0,0.4717
227,629,0,0.7607
228,948,0,0.5256
229,521,0,0.0748
230,960,0,0.0987
231,110,0,0.3603
232,899,0,0.4876
233,40,0,0.5847
234,358,0,0.6152
235,399,1,0.6298
236,818,1,0.3406
237,345,0,0.9314
238,552,0,0.6872
239,417,0,0.0582
240,737,0,0.9648
241,882,1,0.981
242,761,0,0.4889
243,671,0,0.7041
244,642,0,0.3758
245,678,0,0.7248
246,57,0,0.3212
247,9,0,0.73
248,455,0,0.4271
249,650,0,0.9972
250,152,1,0.5546
251,915,0,0.4218
252,382,0,0.4692
253,192,1,0.9362
254,282,1,0.7649
255,873,1,0.3566
256,936,0,0.7079
257,54,0,0.1112
258,340,0,0.7731
259,979,1,0.3029
260,706,0,0.9455
261,668,0,0.7659
262,95,0,0.5057
263,300,1,0.8775
264,4,0,0.9981
265,367,1,0.7309
266,896,0,0.5507
267,714,0,0.934
268,0,0,0.9713
269,992,0,0.3741
270,26,1,0.4161
271,970,0,0.9411
272,644,0,0.5689
273,658,0,0.3226
274,909,0,0.8083
275,575,0,0.0178
276,691,0,0.7782
277,924,0,0.8166
278,207,0,0.9799
279,398,0,0.9624
280,131,1,0.4672
281,647,1,0.6546
282,576,0,0.4629
283,479,1,0.7141
284,212,1,0.8393
285,120,0,0.6779
286,776,0,0.8878
287,252,1,0.9419
288,662,1,0.8809
289,336,1,0.6981
290,610,1,0.8011
291,397,0,0.1028
292,385,0,0.7882
293,542,0,0.5954
294,680,1,0.8254
295,868,0,0.9458
