No.,request,response
99,0,0.3219
797,1,0.7454
196,1,0.3086
624,0,0.8596
906,0,0.702
437,0,0.7525
902,0,0.2278
134,0,0.8976
963,0,0.1716
712,0,0.9186
320,0,0.4718
667,1,0.6564
326,1,0.7555
89,0,0.0958
972,0,0.5357
661,0,0.3576
93,1,0.4512
795,0,0.3263
419,0,0.5275
142,1,0.8362
159,0,0.759
407,0,0.7962
75,0,0.3405
911,0,0.5766
687,1,0.783
837,0,0.7336
47,0,0.5978
265,1,0.8352
866,0,0.4313
390,0,0.9414
951,0,0.8599
230,0,0.0997
990,0,0.4379
328,0,0.1366
422,0,0.6752
923,0,0.8312
998,0,0.5023
138,0,0.5611
977,0,0.9156
768,0,0.9687
752,0,0.6739
473,0,0.1921
563,1,0.4181
996,0,0.5179
617,0,0.1908
467,0,0.8184
586,1,0.1172
525,0,0.7926
775,1,0.9229
379,0,0.9743
745,1,0.7129
141,0,0.2287
461,0,0.9075
779,0,0.2104
107,1,0.6979
793,0,0.3165
734,0,0.8938
825,0,0.4921
798,0,0.286
66,0,0.3074
350,0,0.1048
596,0,0.7403
792,1,0.8608
217,0,0.0156
16,1,0.6348
380,0,0.8292
98,1,0.5325
506,1,0.2629
636,1,0.8118
257,0,0.821
128,0,0.8266
344,1,0.0798
740,0,0.7088
285,0,0.6359
897,0,0.7979
648,0,0.2382
518,0,0.0436
384,0,0.7118
961,1,0.1357
493,0,0.5099
879,0,0.7141
335,0,0.1972
294,0,0.6128
502,0,0.4457
974,1,0.6998
580,1,0.3046
730,0,0.7614
781,0,0.9403
126,0,0.7202
441,0,0.5546
938,0,0.1523
782,0,0.3453
297,0,0.8855
889,0,0.9566
348,0,0.7496
809,0,0.4099
48,0,0.3731
903,0,0.0643
690,0,0.5098
408,0,0.7059
545,0,0.3642
439,1,0.2349
984,0,0.1366
425,0,0.284
205,0,0.661
930,0,0.7211
418,0,0.3016
434,0,0.5084
929,0,0.2355
822,1,0.7093
36,0,0.582
245,0,0.5474
743,0,0.0313
238,1,0.3556
766,1,0.3621
420,0,0.1135
25,1,0.0658
742,0,0.7597
679,0,0.1975
241,0,0.4661
509,0,0.4283
991,0,0.8787
564,1,0.7722
288,0,0.0216
534,0,0.8919
481,0,0.7347
304,0,0.1489
780,0,0.5997
73,0,0.348
35,0,0.8455
893,0,0.8817
578,0,0.9626
168,1,0.5696
828,1,0.2399
490,0,0.066
276,0,0.63
574,0,0.9423
876,0,0.0793
61,0,0.8166
942,1,0.144
941,0,0.0604
432,1,0.1073
608,0,0.691
900,0,0.8022
849,0,0.6628
813,0,0.9464
886,0,0.4844
784,0,0.4524
387,0,0.046
483,0,0.7322
283,0,0.8806
468,1,0.7254
310,1,0.59
498,0,0.2198
618,0,0.885
117,0,0.6033
537,1,0.5832
756,1,0.4693
330,1,0.9762
850,0,0.5699
109,0,0.5525
90,1,0.8496
627,0,0.8096
704,1,0.5486
696,0,0.0474
111,1,0.9367
135,0,0.0099
754,1,0.0201
605,1,0.1811
948,0,0.5256
521,0,0.0748
40,0,0.5847
358,0,0.6152
818,1,0.3406
345,0,0.9314
882,0,0.981
761,1,0.4889
671,0,0.7041
881,1,0.275
9,0,0.73
42,0,0.5963
455,0,0.4271
353,0,0.251
152,0,0.5546
192,1,0.9362
282,0,0.7649
936,0,0.7079
351,0,0.1833
668,0,0.7659
95,0,0.5057
116,0,0.0533
4,0,0.9981
714,1,0.934
0,0,0.9713
