No.,request,response
624,0,0.8596
906,1,0.702
134,0,0.8976
712,0,0.9186
320,0,0.4718
667,1,0.6564
972,0,0.5357
661,0,0.3576
419,0,0.5275
142,0,0.8362
159,1,0.759
75,0,0.3405
911,0,0.5766
687,0,0.783
837,1,0.7336
47,1,0.5978
265,0,0.8352
990,0,0.4379
328,0,0.1366
923,0,0.8312
977,1,0.9156
563,0,0.4181
996,0,0.5179
775,1,0.9229
141,1,0.2287
779,0,0.2104
107,0,0.6979
734,0,0.8938
66,0,0.3074
792,0,0.8608
16,1,0.6348
98,0,0.5325
636,1,0.8118
128,1,0.8266
344,0,0.0798
648,1,0.2382
879,0,0.7141
580,0,0.3046
730,0,0.7614
441,0,0.5546
348,1,0.7496
809,1,0.4099
48,0,0.3731
690,0,0.5098
545,0,0.3642
425,0,0.284
929,0,0.2355
36,0,0.582
245,0,0.5474
238,1,0.3556
420,0,0.1135
742,1,0.7597
509,0,0.4283
991,1,0.8787
564,1,0.7722
288,1,0.0216
304,0,0.1489
168,0,0.5696
828,0,0.2399
276,1,0.63
574,0,0.9423
61,0,0.8166
942,1,0.144
886,1,0.4844
387,0,0.046
468,1,0.7254
310,0,0.59
117,0,0.6033
756,0,0.4693
330,0,0.9762
109,1,0.5525
90,0,0.8496
704,1,0.5486
696,0,0.0474
111,1,0.9367
135,1,0.0099
754,0,0.0201
605,1,0.1811
818,1,0.3406
881,0,0.275
282,0,0.7649
116,0,0.0533
4,0,0.9981
174,0,0.2073
26,0,0.4161
207,0,0.9799
398,0,0.9624
479,1,0.7141
212,1,0.8393
37,1,0.2219
610,0,0.8011
542,0,0.5954
943,1,0.5923
654,0,0.715
213,1,0.2389
58,0,0.3488
311,1,0.333
454,1,0.1527
12,0,0.9542
724,0,0.4664
817,0,0.8018
177,0,0.0075
315,0,0.4717
723,0,0.4928
621,0,0.8103
70,1,0.9981
228,1,0.3759
763,0,0.895
895,0,0.3425
44,1,0.473
609,0,0.9858
38,0,0.9784
452,0,0.1616
546,1,0.361
986,1,0.5055
19,0,0.4667
153,0,0.8555
415,1,0.7226
13,0,0.2559
512,1,0.3351
937,1,0.9868
