No.,request,response
99,0,0.3219
797,0,0.7454
529,1,0.5418
196,0,0.3086
624,1,0.8596
906,0,0.702
437,0,0.7525
902,0,0.2278
695,0,0.7182
79,0,0.9584
134,0,0.8976
963,1,0.1716
712,0,0.9186
320,0,0.4718
667,0,0.6564
326,0,0.7555
89,0,0.0958
972,0,0.5357
661,1,0.3576
967,1,0.6981
93,0,0.4512
321,0,0.9637
795,0,0.3263
419,0,0.5275
142,1,0.8362
159,1,0.759
407,1,0.7962
75,0,0.3405
175,0,0.0083
911,1,0.5766
687,0,0.783
837,1,0.7336
47,1,0.5978
265,1,0.8352
866,0,0.4313
390,0,0.9414
951,0,0.8599
230,0,0.0997
990,0,0.4379
328,0,0.1366
422,0,0.6752
445,0,0.8743
923,0,0.8312
577,0,0.1207
998,1,0.5023
138,0,0.5611
977,0,0.9156
768,0,0.9687
752,0,0.6739
473,0,0.1921
563,1,0.4181
996,0,0.5179
617,1,0.1908
277,1,0.2823
341,1,0.9502
467,0,0.8184
851,0,0.4856
586,1,0.1172
525,0,0.7926
775,1,0.9229
379,1,0.9743
634,0,0.4303
745,0,0.7129
488,1,0.2332
141,0,0.2287
461,0,0.9075
779,0,0.2104
107,0,0.6979
824,0,0.2287
793,1,0.3165
599,0,0.2664
748,0,0.6249
734,0,0.8938
825,0,0.4921
798,0,0.286
66,0,0.3074
350,0,0.1048
596,0,0.7403
65,0,0.5869
792,0,0.8608
217,1,0.0156
962,1,0.5557
16,0,0.6348
380,0,0.8292
98,1,0.5325
506,0,0.2629
636,0,0.8118
257,0,0.821
128,0,0.8266
344,0,0.0798
740,0,0.7088
285,0,0.6359
897,1,0.7979
648,1,0.2382
518,0,0.0436
384,0,0.7118
783,0,0.1105
961,0,0.1357
613,0,0.2724
493,1,0.5099
879,0,0.7141
356,0,0.766
335,0,0.1972
294,0,0.6128
589,0,0.9099
255,1,0.0498
46,0,0.0644
113,1,0.7905
502,0,0.4457
974,0,0.6998
580,0,0.3046
730,0,0.7614
781,0,0.9403
126,0,0.7202
441,0,0.5546
938,0,0.1523
782,0,0.3453
297,0,0.8855
229,0,0.7009
889,0,0.9566
348,1,0.7496
809,0,0.4099
48,1,0.3731
903,0,0.0643
690,0,0.5098
408,0,0.7059
545,0,0.3642
439,0,0.2349
984,0,0.1366
995,0,0.3831
425,0,0.284
205,0,0.661
930,0,0.7211
418,0,0.3016
197,0,0.8437
434,0,0.5084
32,1,0.782
929,1,0.2355
822,0,0.7093
926,0,0.2706
36,0,0.582
245,0,0.5474
603,1,0.4665
743,0,0.0313
238,0,0.3556
766,1,0.3621
420,0,0.1135
25,1,0.0658
982,0,0.8348
742,1,0.7597
679,0,0.1975
875,0,0.9797
268,0,0.2724
241,0,0.4661
509,1,0.4283
991,1,0.8787
489,1,0.5191
564,1,0.7722
288,0,0.0216
534,0,0.8919
481,0,0.7347
304,0,0.1489
957,0,0.4662
780,0,0.5997
73,0,0.348
35,0,0.8455
893,0,0.8817
578,0,0.9626
168,0,0.5696
828,0,0.2399
490,1,0.066
944,0,0.5604
276,1,0.63
789,0,0.6809
880,0,0.4779
486,0,0.2892
574,0,0.9423
569,1,0.9655
876,0,0.0793
61,0,0.8166
342,0,0.0787
942,0,0.144
941,0,0.0604
432,0,0.1073
816,0,0.0608
526,0,0.2558
608,1,0.691
900,1,0.8022
849,0,0.6628
813,0,0.9464
820,1,0.7992
886,0,0.4844
784,1,0.4524
261,0,0.9877
387,1,0.046
483,0,0.7322
283,0,0.8806
381,0,0.3692
733,0,0.882
468,1,0.7254
950,0,0.0278
310,1,0.59
498,0,0.2198
618,0,0.885
117,0,0.6033
239,1,0.4261
854,0,0.0731
537,0,0.5832
756,0,0.4693
330,0,0.9762
940,1,0.3194
850,0,0.5699
802,0,0.5578
109,0,0.5525
90,1,0.8496
627,0,0.8096
704,1,0.5486
167,0,0.8075
332,0,0.7217
696,0,0.0474
404,1,0.791
111,1,0.9367
188,1,0.3464
607,1,0.4702
515,0,0.6947
77,1,0.1779
135,0,0.0099
754,0,0.0201
605,1,0.1811
629,1,0.7607
948,0,0.5256
521,0,0.0748
40,1,0.5847
358,0,0.6152
818,0,0.3406
345,0,0.9314
737,0,0.9648
882,0,0.981
761,0,0.4889
671,0,0.7041
881,1,0.275
9,0,0.73
42,0,0.5963
455,0,0.4271
353,0,0.251
650,0,0.9972
152,0,0.5546
192,1,0.9362
282,1,0.7649
936,0,0.7079
351,0,0.1833
709,1,0.3095
340,0,0.7731
668,0,0.7659
95,0,0.5057
116,0,0.0533
4,0,0.9981
367,1,0.7309
714,1,0.934
0,0,0.9713
174,1,0.2073
273,0,0.4867
26,1,0.4161
970,0,0.9411
658,0,0.3226
207,0,0.9799
827,1,0.0794
398,1,0.9624
131,0,0.4672
576,1,0.4629
479,1,0.7141
212,0,0.8393
37,1,0.2219
120,1,0.6779
776,0,0.8878
252,0,0.9419
662,0,0.8809
610,0,0.8011
293,0,0.2482
397,0,0.1028
223,0,0.5697
542,0,0.5954
680,0,0.8254
943,0,0.5923
290,0,0.3334
383,0,0.5233
654,0,0.715
108,0,0.3195
115,0,0.6016
213,0,0.2389
58,0,0.3488
162,1,0.562
311,1,0.333
870,0,0.041
198,1,0.6407
454,0,0.1527
62,0,0.9546
139,0,0.736
520,0,0.7641
664,0,0.9679
765,0,0.8006
615,0,0.3526
869,0,0.817
785,0,0.0233
53,0,0.5146
666,0,0.4851
12,0,0.9542
724,0,0.4664
817,0,0.8018
453,1,0.3967
177,0,0.0075
953,0,0.9244
451,1,0.9946
43,0,0.6412
463,0,0.968
757,0,0.4824
707,0,0.1221
315,0,0.4717
193,0,0.7946
249,0,0.9757
423,1,0.8892
565,0,0.4909
697,0,0.0977
723,1,0.4928
231,0,0.555
421,0,0.9188
847,1,0.5194
303,1,0.8067
393,0,0.9615
322,1,0.1185
471,0,0.1096
50,0,0.9071
621,0,0.8103
568,0,0.1738
843,1,0.0572
547,0,0.5641
549,0,0.3694
70,0,0.9981
981,0,0.0321
228,0,0.3759
763,1,0.895
499,0,0.7949
895,1,0.3425
699,1,0.5532
87,0,0.0509
44,0,0.473
550,1,0.6131
334,1,0.1587
842,1,0.0698
364,0,0.2548
1,0,0.5217
864,1,0.351
609,1,0.9858
170,1,0.365
38,0,0.9784
452,1,0.1616
546,0,0.361
194,0,0.8325
191,0,0.3592
986,0,0.5055
129,0,0.752
540,0,0.8316
172,0,0.6145
701,0,0.4927
428,0,0.8035
892,0,0.9638
856,0,0.5305
514,0,0.2042
788,0,0.4604
705,0,0.1848
19,1,0.4667
386,0,0.0513
153,0,0.8555
415,0,0.7226
281,0,0.3053
271,0,0.5039
722,0,0.5093
13,0,0.2559
512,0,0.3351
741,0,0.0812
250,0,0.7761
377,1,0.8849
937,0,0.9868
728,0,0.4243
143,0,0.3313
39,0,0.3086
125,1,0.3573
145,0,0.6075
23,1,0.6451
440,0,0.7158
72,0,0.2453
711,0,0.5826
619,1,0.4282
41,0,0.7577
877,0,0.3303
391,0,0.2578
289,1,0.3404
523,1,0.3752
112,0,0.0542
88,0,0.6363
148,0,0.373
908,0,0.6529
750,0,0.2548
507,1,0.5044
200,0,0.5232
544,0,0.1582
414,1,0.6707
846,0,0.8462
674,0,0.4077
373,0,0.0271
389,0,0.9127
478,0,0.0192
933,0,0.1895
243,1,0.121
913,0,0.5826
732,0,0.2177
394,1,0.5207
999,0,0.5856
954,0,0.3532
409,0,0.4541
476,0,0.0004
790,0,0.5603
318,0,0.5293
376,0,0.5634
883,0,0.9678
686,1,0.9449
287,0,0.6161
774,1,0.1605
5,1,0.1689
917,1,0.4373
215,0,0.6089
169,0,0.6825
63,0,0.9824
985,0,0.6084
987,0,0.603
721,0,0.3082
632,0,0.4853
256,0,0.1613
819,0,0.4901
835,1,0.8165
887,0,0.6048
374,0,0.3666
932,0,0.9209
885,0,0.7425
201,0,0.1187
646,0,0.2641
503,0,0.7829
352,0,0.7776
570,0,0.2685
375,0,0.9445
91,1,0.0858
909,0,0.8083
543,0,0.4644
21,0,0.9912
274,0,0.8026
665,0,0.8768
960,0,0.0987
67,0,0.4744
34,0,0.6423
323,0,0.8995
227,0,0.4578
247,0,0.7573
641,0,0.212
343,0,0.8376
808,0,0.6324
727,0,0.2613
919,0,0.3633
216,1,0.2547
530,1,0.9792
17,0,0.007
501,0,0.9698
140,1,0.3273
51,0,0.1763
137,0,0.6046
14,0,0.7142
916,1,0.7762
372,1,0.6798
97,1,0.2085
536,0,0.2043
292,0,0.8495
541,0,0.0573
69,0,0.0852
584,0,0.4445
585,0,0.3985
836,0,0.4617
604,0,0.2925
500,1,0.1616
382,0,0.4692
838,0,0.8281
769,0,0.7107
195,0,0.447
678,0,0.7248
27,0,0.4419
560,0,0.4194
966,0,0.6727
946,0,0.251
552,0,0.6872
314,0,0.4839
222,0,0.0208
725,0,0.2041
179,0,0.9162
773,0,0.1738
975,0,0.2077
554,0,0.1201
405,1,0.5302
156,0,0.3536
236,1,0.0347
385,0,0.7882
591,0,0.4954
406,0,0.7053
497,0,0.8112
557,0,0.3526
952,0,0.0874
214,0,0.3896
400,0,0.955
157,0,0.8625
907,0,0.182
146,0,0.0744
122,0,0.2152
533,0,0.3326
185,0,0.844
927,0,0.3069
508,0,0.4599
155,0,0.6382
472,0,0.0499
644,0,0.5689
81,0,0.6262
611,0,0.7751
833,0,0.2465
635,0,0.7944
114,0,0.0579
295,0,0.0406
928,0,0.0524
901,0,0.623
865,0,0.3575
762,0,0.7071
18,0,0.5703
698,0,0.4366
149,0,0.104
211,0,0.6539
280,0,0.4685
253,0,0.9961
388,0,0.4441
758,0,0.6996
559,1,0.5687
831,0,0.0811
814,0,0.5057
805,0,0.4235
945,0,0.3994
456,0,0.6338
443,0,0.7388
82,0,0.4137
331,0,0.3983
96,0,0.9675
890,0,0.4143
105,0,0.5651
459,0,0.1099
136,0,0.2416
989,0,0.2646
527,0,0.1966
706,0,0.9455
57,0,0.3212
244,0,0.6432
713,0,0.5988
532,0,0.3897
206,0,0.7136
233,0,0.2988
258,0,0.3605
30,0,0.9649
219,0,0.5795
640,0,0.3482
220,0,0.3101
832,0,0.0656
312,0,0.5525
633,0,0.204
510,0,0.8684
702,0,0.5574
673,0,0.8569
160,0,0.3505
495,0,0.6515
749,0,0.6727
24,0,0.0747
592,0,0.1998
190,0,0.6096
469,0,0.4988
684,0,0.7538
302,0,0.8083
524,0,0.7256
347,0,0.9124
956,0,0.2604
777,0,0.9462
460,0,0.1404
237,0,0.427
76,0,0.2298
935,1,0.9728
85,0,0.9809
183,1,0.7888
457,0,0.0688
182,0,0.4933
337,0,0.1725
6,0,0.6079
339,1,0.0685
993,0,0.0167
60,0,0.0745
884,0,0.7168
834,1,0.7386
485,0,0.5398
759,0,0.4046
583,0,0.8339
324,0,0.1828
746,0,0.4115
800,0,0.1362
298,0,0.5704
925,0,0.9063
447,0,0.9065
862,0,0.9343
475,0,0.5913
378,0,0.5466
891,0,0.3461
225,0,0.404
760,0,0.7401
208,0,0.2646
336,0,0.6981
859,0,0.3447
556,0,0.4717
692,0,0.6249
203,0,0.2464
988,0,0.6043
410,0,0.1729
717,0,0.4816
794,0,0.9085
448,0,0.916
355,0,0.7906
804,1,0.3005
899,0,0.4876
306,0,0.238
450,0,0.2263
656,0,0.6431
392,0,0.4712
778,0,0.2094
55,0,0.7713
715,0,0.8062
399,0,0.6298
980,0,0.4547
80,0,0.485
655,0,0.6275
905,1,0.7616
920,0,0.9539
682,0,0.8329
669,0,0.3178
164,0,0.6506
359,0,0.527
672,0,0.302
325,0,0.9864
738,0,0.6019
189,0,0.9333
867,0,0.2933
176,0,0.0537
874,0,0.3826
173,0,0.3695
29,0,0.5533
178,0,0.1271
811,0,0.9871
317,1,0.747
221,0,0.436
840,0,0.1319
395,0,0.7222
691,0,0.7782
54,0,0.1112
361,0,0.6917
430,0,0.1187
458,0,0.0406
100,0,0.3938
354,0,0.7571
821,0,0.3718
132,0,0.8331
976,0,0.0909
270,0,0.8974
119,0,0.8307
242,0,0.3831
720,0,0.9228
660,0,0.6974
286,0,0.941
614,0,0.6953
649,0,0.6318
424,0,0.0307
726,0,0.4651
482,0,0.5597
259,0,0.9254
56,0,0.2891
894,0,0.2553
873,0,0.3566
659,0,0.4409
31,0,0.3617
852,0,0.0813
151,0,0.3176
685,0,0.0326
186,0,0.8065
535,0,0.5698
579,0,0.926
871,0,0.5097
127,0,0.1496
484,0,0.1658
947,0,0.932
305,0,0.7969
622,0,0.9831
796,0,0.7134
924,0,0.8166
855,0,0.3072
922,0,0.8714
600,0,0.1175
676,0,0.311
313,0,0.2375
858,0,0.7711
511,0,0.0414
417,0,0.0582
764,0,0.3769
226,0,0.0088
465,0,0.1481
110,0,0.3603
718,0,0.8468
693,0,0.7449
653,0,0.4954
209,0,0.3396
896,0,0.5507
275,0,0.3712
449,0,0.0139
657,0,0.4695
248,0,0.6551
971,0,0.4098
232,0,0.0569
631,0,0.6276
868,0,0.9458
575,0,0.0178
496,0,0.4199
308,0,0.9615
689,0,0.0522
571,0,0.3513
747,0,0.4608
598,0,0.974
934,0,0.9775
595,0,0.2825
333,0,0.8585
677,0,0.3557
983,0,0.1474
474,0,0.7
492,0,0.7414
161,0,0.0371
429,0,0.3858
912,0,0.723
921,0,0.7609
431,0,0.4009
731,0,0.0588
626,0,0.5073
770,0,0.581
267,0,0.7595
264,0,0.1141
863,0,0.5033
949,0,0.6092
49,0,0.6873
594,0,0.8553
719,0,0.9374
739,0,0.2196
675,0,0.7537
371,0,0.3535
22,1,0.5813
513,1,0.5577
181,1,0.8428
845,1,0.2807
744,0,0.0918
396,0,0.2786
102,0,0.463
210,1,0.6725
124,1,0.4319
470,0,0.8919
78,0,0.255
567,0,0.0645
224,0,0.5387
10,0,0.2607
150,0,0.6263
240,1,0.4713
20,0,0.1244
104,0,0.5445
462,1,0.2822
555,0,0.2149
368,0,0.3491
643,0,0.0143
263,1,0.7091
844,1,0.1437
729,1,0.5753
582,0,0.912
638,0,0.6835
853,0,0.5322
133,1,0.4607
154,0,0.9737
958,0,0.7841
830,0,0.4137
362,1,0.8036
2,0,0.4251
538,1,0.1635
254,0,0.9439
327,1,0.2766
878,1,0.8939
753,1,0.2103
278,0,0.3714
296,1,0.3937
262,1,0.6977
284,0,0.6201
505,0,0.6568
187,0,0.8829
561,1,0.561
522,1,0.39
7,0,0.6336
606,1,0.0727
755,0,0.6774
839,0,0.6544
442,0,0.9907
857,0,0.4585
251,0,0.0658
562,0,0.886
147,0,0.4765
123,0,0.643
620,0,0.7576
494,0,0.3614
639,0,0.6419
199,0,0.1071
628,0,0.0038
992,0,0.3741
266,0,0.6186
888,0,0.1691
269,0,0.4474
588,0,0.7556
299,0,0.1263
68,0,0.0371
401,0,0.6668
94,0,0.2423
92,0,0.72
616,0,0.3464
436,0,0.9501
413,0,0.6735
670,0,0.9588
799,1,0.2121
71,0,0.3172
246,0,0.4768
171,0,0.9151
464,0,0.6564
700,0,0.7462
15,1,0.0597
872,0,0.1653
52,0,0.7413
735,0,0.0188
516,0,0.2096
590,0,0.6882
642,0,0.3758
915,0,0.4218
681,0,0.8682
955,0,0.2139
444,0,0.5497
573,0,0.3284
349,0,0.1533
103,0,0.5313
33,0,0.3622
801,0,0.063
969,0,0.0572
101,0,0.6511
416,0,0.5236
163,0,0.0427
365,0,0.9412
551,0,0.2517
587,0,0.3653
964,0,0.1691
710,0,0.1807
630,0,0.2814
566,0,0.1267
426,0,0.0096
144,0,0.2889
979,0,0.3029
593,0,0.8985
45,0,0.4463
59,0,0.9039
539,0,0.1407
994,0,0.8253
910,0,0.0899
812,0,0.3129
166,0,0.0503
771,0,0.868
11,0,0.1475
572,0,0.4568
433,0,0.6773
234,0,0.677
360,0,0.0262
329,0,0.6813
84,0,0.0539
121,0,0.1429
279,0,0.6226
402,0,0.0931
683,0,0.3022
939,0,0.8492
260,0,0.5695
716,1,0.3103
411,0,0.8597
370,0,0.8336
751,0,0.261
959,0,0.7042
823,0,0.2158
531,1,0.7208
204,1,0.2751
736,1,0.2562
647,1,0.6546
841,1,0.0435
918,1,0.1319
158,1,0.8778
118,0,0.3403
787,0,0.5096
446,0,0.1363
688,0,0.3119
403,1,0.3239
272,0,0.1767
438,0,0.1573
810,1,0.78
363,1,0.9383
772,1,0.3001
235,0,0.5193
848,0,0.3232
663,0,0.7887
165,0,0.4841
645,0,0.4882
3,0,0.1472
815,0,0.2221
86,0,0.4223
548,1,0.4298
581,1,0.9857
602,0,0.1543
694,1,0.8637
184,0,0.0596
130,0,0.5449
826,1,0.587
300,1,0.8775
861,0,0.0296
612,0,0.15
807,0,0.7068
914,1,0.7125
83,1,0.8368
64,1,0.6926
491,0,0.8604
860,0,0.8223
528,0,0.0213
553,0,0.3464
652,1,0.0957
346,1,0.0377
180,1,0.9664
803,1,0.7016
477,0,0.1926
366,1,0.246
291,1,0.5811
435,1,0.3389
466,0,0.451
558,1,0.3958
357,0,0.9667
651,1,0.388
965,0,0.7425
904,0,0.7373
898,1,0.6679
427,1,0.0467
597,0,0.0862
307,0,0.0787
480,0,0.5379
791,0,0.0456
786,0,0.3875
28,0,0.6088
8,1,0.2934
767,0,0.4503
504,1,0.6259
973,1,0.9247
316,0,0.8497
338,0,0.8738
202,0,0.8461
703,1,0.4758
309,0,0.0818
519,0,0.5953
369,1,0.6757
601,0,0.0876
623,0,0.7995
968,1,0.0937
978,1,0.2172
829,0,0.7081
487,0,0.7986
708,0,0.7477
997,0,0.9451
74,0,0.4957
301,0,0.0133
106,0,0.377
218,0,0.5102
517,0,0.1038
931,1,0.9152
625,0,0.126
319,0,0.2723
637,1,0.2513
412,1,0.8301
806,0,0.4968
