No.,request,response
624,0,0.8596
906,1,0.702
712,0,0.9186
320,0,0.4718
667,0,0.6564
972,0,0.5357
661,0,0.3576
142,1,0.8362
159,1,0.759
75,0,0.3405
911,1,0.5766
687,0,0.783
47,0,0.5978
328,0,0.1366
923,0,0.8312
977,0,0.9156
563,0,0.4181
996,0,0.5179
141,0,0.2287
779,0,0.2104
107,1,0.6979
66,0,0.3074
16,0,0.6348
636,0,0.8118
128,1,0.8266
344,0,0.0798
648,0,0.2382
580,1,0.3046
730,0,0.7614
441,0,0.5546
348,0,0.7496
809,0,0.4099
48,0,0.3731
690,1,0.5098
545,0,0.3642
425,0,0.284
929,0,0.2355
36,0,0.582
245,1,0.5474
238,1,0.3556
420,0,0.1135
742,0,0.7597
509,0,0.4283
564,1,0.7722
288,0,0.0216
304,1,0.1489
168,0,0.5696
828,0,0.2399
276,0,0.63
574,0,0.9423
61,0,0.8166
942,0,0.144
886,0,0.4844
387,0,0.046
310,0,0.59
117,0,0.6033
756,0,0.4693
109,0,0.5525
704,0,0.5486
696,0,0.0474
111,1,0.9367
135,0,0.0099
754,0,0.0201
605,0,0.1811
818,0,0.3406
881,1,0.275
116,0,0.0533
174,0,0.2073
26,0,0.4161
207,1,0.9799
398,0,0.9624
479,0,0.7141
37,0,0.2219
610,0,0.8011
542,1,0.5954
943,1,0.5923
654,0,0.715
213,0,0.2389
58,0,0.3488
311,1,0.333
454,0,0.1527
724,0,0.4664
817,0,0.8018
177,1,0.0075
315,1,0.4717
723,0,0.4928
228,1,0.3759
895,0,0.3425
44,1,0.473
38,0,0.9784
452,0,0.1616
546,0,0.361
986,0,0.5055
19,0,0.4667
415,0,0.7226
13,0,0.2559
512,1,0.3351
143,0,0.3313
877,1,0.3303
289,1,0.3404
908,1,0.6529
200,1,0.5232
414,0,0.6707
913,0,0.5826
732,0,0.2177
394,0,0.5207
954,0,0.3532
476,1,0.0004
287,1,0.6161
5,0,0.1689
917,0,0.4373
632,1,0.4853
819,0,0.4901
835,0,0.8165
646,0,0.2641
91,0,0.0858
67,1,0.4744
323,0,0.8995
727,0,0.2613
216,1,0.2547
372,0,0.6798
