No.,request,response
99,0,0.3219
797,1,0.7454
624,0,0.8596
906,1,0.702
134,0,0.8976
963,1,0.1716
712,0,0.9186
320,0,0.4718
667,0,0.6564
972,0,0.5357
661,1,0.3576
93,1,0.4512
419,0,0.5275
142,1,0.8362
159,0,0.759
407,1,0.7962
75,0,0.3405
911,0,0.5766
687,0,0.783
837,1,0.7336
47,1,0.5978
265,1,0.8352
230,1,0.0997
990,0,0.4379
328,1,0.1366
923,0,0.8312
138,0,0.5611
977,0,0.9156
768,0,0.9687
752,0,0.6739
563,0,0.4181
996,0,0.5179
617,1,0.1908
467,0,0.8184
586,0,0.1172
525,0,0.7926
775,1,0.9229
379,0,0.9743
141,0,0.2287
779,0,0.2104
107,1,0.6979
793,1,0.3165
734,1,0.8938
798,0,0.286
66,0,0.3074
596,0,0.7403
792,0,0.8608
16,0,0.6348
380,0,0.8292
98,0,0.5325
506,1,0.2629
636,0,0.8118
128,1,0.8266
344,1,0.0798
285,0,0.6359
897,0,0.7979
648,0,0.2382
384,0,0.7118
961,0,0.1357
879,1,0.7141
335,0,0.1972
294,0,0.6128
974,0,0.6998
580,1,0.3046
730,1,0.7614
126,0,0.7202
441,0,0.5546
938,0,0.1523
782,0,0.3453
297,0,0.8855
348,0,0.7496
809,1,0.4099
48,1,0.3731
690,1,0.5098
545,1,0.3642
439,0,0.2349
984,0,0.1366
425,1,0.284
205,0,0.661
929,0,0.2355
822,1,0.7093
36,1,0.582
245,1,0.5474
238,0,0.3556
766,0,0.3621
420,0,0.1135
25,0,0.0658
742,1,0.7597
509,0,0.4283
991,0,0.8787
564,0,0.7722
288,0,0.0216
304,1,0.1489
780,1,0.5997
73,0,0.348
578,0,0.9626
168,0,0.5696
828,0,0.2399
490,1,0.066
276,0,0.63
574,0,0.9423
876,0,0.0793
61,0,0.8166
942,0,0.144
941,0,0.0604
608,1,0.691
900,0,0.8022
813,0,0.9464
886,0,0.4844
784,0,0.4524
387,0,0.046
483,0,0.7322
283,0,0.8806
468,1,0.7254
310,1,0.59
498,0,0.2198
618,1,0.885
117,0,0.6033
756,0,0.4693
330,0,0.9762
850,0,0.5699
109,0,0.5525
90,0,0.8496
627,1,0.8096
704,0,0.5486
696,0,0.0474
111,1,0.9367
135,0,0.0099
754,0,0.0201
605,0,0.1811
948,0,0.5256
40,0,0.5847
358,0,0.6152
818,1,0.3406
345,0,0.9314
881,1,0.275
9,0,0.73
152,1,0.5546
282,1,0.7649
95,0,0.5057
116,0,0.0533
4,0,0.9981
714,0,0.934
174,1,0.2073
26,0,0.4161
207,1,0.9799
398,0,0.9624
479,1,0.7141
212,0,0.8393
37,1,0.2219
252,0,0.9419
662,1,0.8809
610,1,0.8011
223,0,0.5697
542,0,0.5954
943,0,0.5923
383,1,0.5233
654,0,0.715
108,0,0.3195
213,1,0.2389
58,0,0.3488
162,0,0.562
311,1,0.333
454,1,0.1527
139,0,0.736
765,0,0.8006
869,0,0.817
666,0,0.4851
12,1,0.9542
724,1,0.4664
817,0,0.8018
453,0,0.3967
177,0,0.0075
451,1,0.9946
757,0,0.4824
315,1,0.4717
249,0,0.9757
723,1,0.4928
231,0,0.555
421,0,0.9188
393,0,0.9615
322,0,0.1185
621,0,0.8103
549,1,0.3694
70,1,0.9981
228,1,0.3759
763,1,0.895
499,0,0.7949
895,0,0.3425
44,0,0.473
334,1,0.1587
364,1,0.2548
864,0,0.351
609,1,0.9858
38,1,0.9784
